"","pathway","description","genes_in_pathway","matches","%_match","pValue","adj.pValue","overlap"
"aberrant intracellular distribution of mitochondria","aberrant intracellular distribution of mitochondria","""aberrant intracellular distribution of mitochondria""","2","0","0","1","1",""
"aberrant late culminant morphology","aberrant late culminant morphology","""aberrant late culminant morphology""","8","0","0","1","1",""
"aberrant lipid droplet formation","aberrant lipid droplet formation","""aberrant lipid droplet formation""","0","0","NaN","1","1",""
"aberrant lipid storage","aberrant lipid storage","""aberrant lipid storage""","1","0","0","1","1",""
"aberrant localization to coated pits","aberrant localization to coated pits","""aberrant localization to coated pits""","1","0","0","1","1",""
"aberrant localization","aberrant localization","""aberrant localization""","2","0","0","1","1",""
"aberrant lysosome organization","aberrant lysosome organization","""aberrant lysosome organization""","2","0","0","1","1",""
"aberrant macroautophagy","aberrant macroautophagy","""aberrant macroautophagy""","4","0","0","1","1",""
"aberrant macrocyst formation","aberrant macrocyst formation","""aberrant macrocyst formation""","3","0","0","1","1",""
"aberrant macromolecule biosynthesis","aberrant macromolecule biosynthesis","""aberrant macromolecule biosynthesis""","1","0","0","1","1",""
"aberrant macropinocytosis","aberrant macropinocytosis","""aberrant macropinocytosis""","11","0","0","1","1",""
"aberrant microtubule cytoskeleton organization","aberrant microtubule cytoskeleton organization","""aberrant microtubule cytoskeleton organization""","5","0","0","1","1",""
"aberrant mitochondrion morphology","aberrant mitochondrion morphology","""aberrant mitochondrion morphology""","5","0","0","1","1",""
"aberrant mitosis","aberrant mitosis","""aberrant mitosis""","3","0","0","1","1",""
"aberrant mitotic actomyosin contractile ring contraction","aberrant mitotic actomyosin contractile ring contraction","""aberrant mitotic actomyosin contractile ring contraction""","3","0","0","1","1",""
"aberrant mitotic anaphase","aberrant mitotic anaphase","""aberrant mitotic anaphase""","1","0","0","1","1",""
"aberrant mitotic sister chromatid segregation","aberrant mitotic sister chromatid segregation","""aberrant mitotic sister chromatid segregation""","2","0","0","1","1",""
"aberrant mitotic spindle elongation","aberrant mitotic spindle elongation","""aberrant mitotic spindle elongation""","1","0","0","1","1",""
"aberrant mitotic spindle organization","aberrant mitotic spindle organization","""aberrant mitotic spindle organization""","7","0","0","1","1",""
"aberrant molecular function","aberrant molecular function","""aberrant molecular function""","1","0","0","1","1",""
"aberrant mound color","aberrant mound color","""aberrant mound color""","2","0","0","1","1",""
"aberrant myosin II filament organization","aberrant myosin II filament organization","""aberrant myosin II filament organization""","5","0","0","1","1",""
"aberrant negative chemotaxis","aberrant negative chemotaxis","""aberrant negative chemotaxis""","2","0","0","1","1",""
"aberrant nuclear envelope morphology","aberrant nuclear envelope morphology","""aberrant nuclear envelope morphology""","1","0","0","1","1",""
"aberrant nuclear membrane organization","aberrant nuclear membrane organization","""aberrant nuclear membrane organization""","1","0","0","1","1",""
"aberrant nucleus morphology","aberrant nucleus morphology","""aberrant nucleus morphology""","5","0","0","1","1",""
"aberrant nucleus organization","aberrant nucleus organization","""aberrant nucleus organization""","1","0","0","1","1",""
"aberrant organelle organization","aberrant organelle organization","""aberrant organelle organization""","0","0","NaN","1","1",""
"aberrant osmosensory signaling pathway","aberrant osmosensory signaling pathway","""aberrant osmosensory signaling pathway""","1","0","0","1","1",""
"aberrant phagocytosis","aberrant phagocytosis","""aberrant phagocytosis""","10","0","0","1","1",""
"aberrant phagolysosome formation","aberrant phagolysosome formation","""aberrant phagolysosome formation""","1","0","0","1","1",""
"aberrant phosphatidylinositol metabolism","aberrant phosphatidylinositol metabolism","""aberrant phosphatidylinositol metabolism""","1","0","0","1","1",""
"aberrant phototaxis","aberrant phototaxis","""aberrant phototaxis""","14","0","0","1","1",""
"aberrant pinocytosis","aberrant pinocytosis","""aberrant pinocytosis""","1","0","0","1","1",""
"aberrant pinosome maturation","aberrant pinosome maturation","""aberrant pinosome maturation""","2","0","0","1","1",""
